6
0 0.000000000000e+00
-1.977907577397e-06 -6.053557744002e-07 7.011722317213e-06
3.905180099897e-05 -1.623741690621e-05 1.785271276780e-04
-1.765250576064e-04 8.935502570869e-05 8.000120181701e-06
-7.241417941229e-06 -4.530961541140e-06 2.093629014329e-05
-9.663148553985e-06 7.435176471613e-05 1.908522234548e-05
6
43 1.290000000000e+00
2.682618896271e-07 5.269706330488e-08 1.618128880639e-06
-1.988596517791e-06 -6.811673707587e-07 7.003844639863e-06
3.957211942196e-05 -1.638529288989e-05 1.810276755572e-04
-1.787431368452e-04 9.048798467264e-05 8.077231543612e-06
-7.407083498906e-06 -4.750091270586e-06 2.127052471629e-05
-9.817228742802e-06 7.603071202297e-05 1.928344288679e-05
6
44 1.320000000000e+00
2.678005857080e-07 5.537846364736e-08 1.669373404102e-06
-1.998108523595e-06 -7.584189721334e-07 6.992314862369e-06
4.007497053335e-05 -1.652275449180e-05 1.834426151518e-04
-1.808688708426e-04 9.157458584329e-05 8.145293188491e-06
-7.567793818988e-06 -4.971254443178e-06 2.159405288060e-05
-9.967026684468e-06 7.770029939966e-05 1.947216010963e-05
6
45 1.350000000000e+00
2.735563241434e-07 5.478544052327e-08 1.711139517033e-06
-2.006476500844e-06 -8.370283360220e-07 6.977383216588e-06
4.056100909103e-05 -1.665008167383e-05 1.857742876290e-04
-1.829047599216e-04 9.261609185354e-05 8.204227327544e-06
-7.723359660850e-06 -5.194252223001e-06 2.190687768748e-05
-1.011256353628e-05 7.936043530618e-05 1.965165735091e-05
6
46 1.380000000000e+00
2.855235205622e-07 5.092251934067e-08 1.743387843583e-06
-2.013734023369e-06 -9.169132451283e-07 6.959297080932e-06
4.103089525410e-05 -1.676755546992e-05 1.880250931959e-04
-1.848533416943e-04 9.361378435154e-05 8.253968559041e-06
-7.873608744531e-06 -5.418897746631e-06 2.220901472315e-05
-1.025386473694e-05 8.101105132270e-05 1.982221544986e-05
6
47 1.410000000000e+00
3.036908606423e-07 4.379846081878e-08 1.766088199537e-06
-2.019914765882e-06 -9.979922581335e-07 6.938298350958e-06
4.148529226618e-05 -1.687545763036e-05 1.901974776463e-04
-1.867171820464e-04 9.456895951442e-05 8.294462977557e-06
-8.018384998246e-06 -5.645016174881e-06 2.250049076258e-05
-1.039096012405e-05 8.265210204642e-05 1.998411337753e-05
6
48 1.440000000000e+00
3.280415432220e-07 3.342579733686e-08 1.779220611814e-06
-2.025052182128e-06 -1.080185445214e-06 6.914621105133e-06
4.192486429544e-05 -1.697406967826e-05 1.922939213678e-04
-1.884988676620e-04 9.548292467950e-05 8.325667280339e-06
-8.157547952273e-06 -5.872444643190e-06 2.278134272334e-05
-1.052388401682e-05 8.428356495889e-05 2.013762868131e-05
6
49 1.470000000000e+00
3.585517771016e-07 1.982057559551e-08 1.782776633552e-06
-2.029179366261e-06 -1.163415094434e-06 6.888489346034e-06
4.235027512393e-05 -1.706367225017e-05 1.943169324661e-04
-1.902010020624e-04 9.635699608238e-05 8.347547998281e-06
-8.290972289983e-06 -6.101032032549e-06 2.305161718452e-05
-1.065267519500e-05 8.590544016375e-05 2.028303770473e-05
6
50 1.500000000000e+00
3.951888905359e-07 3.003118253312e-09 1.776759267264e-06
-2.032328772135e-06 -1.247606428521e-06 6.860114740149e-06
4.276218777286e-05 -1.714454540156e-05 1.962690422009e-04
