6
0 0.000000000000e+00
-1.329681490125e-01 6.794302317156e-02 4.446438107662e-03
-9.996550383661e-03 -1.348475680690e-02 2.014052973112e-02
-9.304355092051e-03 1.025325904966e-01 1.184354512907e-02
6
44 1.320000000000e+00
2.574076641430e-03 1.014533146624e-03 4.522076158190e-02
-8.682880746194e-03 -7.578001237527e-02 -1.292285265778e-02
3.026939666265e-02 -8.103449650240e-03 1.453033254657e-01
-1.273889061060e-01 6.514243400861e-02 3.889661070011e-03
-9.687034541015e-03 -1.360301258884e-02 1.948476685506e-02
-9.042696328159e-03 1.019562369872e-01 1.127028776407e-02
6
45 1.350000000000e+00
8.616785443792e-03 -2.167545930212e-03 3.598494553751e-02
-7.586948116099e-03 -7.705989856764e-02 -1.610869394807e-02
2.925995541561e-02 -7.491413202436e-03 1.402767990525e-01
-1.219640636543e-01 6.241982827626e-02 3.328513409529e-03
-9.366461576004e-03 -1.370945704534e-02 1.882959683789e-02
-8.782462509011e-03 1.013749870800e-01 1.071429412638e-02
6
46 1.380000000000e+00
1.465099264777e-02 -5.343118198350e-03 2.671536284991e-02
-6.523827517238e-03 -7.826005047555e-02 -1.905611627591e-02
2.829107298641e-02 -6.896620127289e-03 1.353988545233e-01
-1.166956240804e-01 5.977621366516e-02 2.763726055400e-03
-9.035845114517e-03 -1.380482604516e-02 1.817574294009e-02
-8.523919444876e-03 1.007902535987e-01 1.017543357385e-02
6
47 1.410000000000e+00
2.067170305366e-02 -8.508163839512e-03 1.742085974109e-02
-5.493368506434e-03 -7.938159059670e-02 -2.177164088080e-02
2.736286493295e-02 -6.319092077313e-03 1.306718856529e-01
-1.115850478555e-01 5.721236197034e-02 2.195976130733e-03
-8.696156686079e-03 -1.388985643210e-02 1.752385228570e-02
-8.267340092512e-03 1.002034428208e-01 9.653607938892e-03
6
48 1.440000000000e+00
2.667324381742e-02 -1.165936944653e-02 8.112443463774e-03
-4.495291912251e-03 -8.042633522804e-02 -2.426394526684e-02
2.647532893087e-02 -5.758779576833e-03 1.260977356860e-01
-1.066334219124e-01 5.472886828639e-02 1.625885113203e-03
-8.348335680992e-03 -1.396527799825e-02 1.687452000390e-02
-8.013000402300e-03 9.961595130736e-02 9.148741018450e-03
6
49 1.470000000000e+00
3.264769707724e-02 -1.479321554390e-02 -1.198482850482e-03
-3.529177745243e-03 -8.139678030619e-02 -2.654394244388e-02
2.562842001322e-02 -5.215623515027e-03 1.216779562323e-01
-1.018417214771e-01 5.232622736646e-02 1.054035937300e-03
-7.993298639606e-03 -1.403179953135e-02 1.622833429192e-02
-7.761170739304e-03 9.902915322399e-02 8.660761568587e-03
6
50 1.500000000000e+00
3.858571428128e-02 -1.790490787700e-02 -1.050106135165e-02
-2.594201067316e-03 -8.229613574846e-02 -2.862470442058e-02
2.482208996493e-02 -4.689611834707e-03 1.174138315642e-01
-9.721090550834e-02 5.000490327847e-02 4.809978121865e-04
-7.631946074793e-03 -1.409009851283e-02 1.558591541850e-02
-7.512109478258e-03 9.844438486787e-02 8.189582678918e-03
6
51 1.530000000000e+00
4.447758598551e-02 -2.098912975498e-02 -1.978233314868e-02
-1.689224251952e-03 -8.312822330040e-02 -3.052089188285e-02
2.405626712275e-02 -4.180748753072e-03 1.133063360461e-01
-9.274184828918e-02 4.776534804965e-02 -9.266531561536e-05
-7.265164798232e-03 -1.414081806526e-02 1.494792498502e-02
-7.266060462004e-03 9.786293553208e-02 7.735087851885e-03
6
52 1.560000000000e+00
5.031250272200e-02 -2.404124827980e-02 -2.902604302036e-02
-8.131553925190e-04 -8.389721593555e-02 -3.224804362404e-02
2.333083788203e-02 -3.689017187800e-03 1.093562751713e-01
-8.843534482791e-02 4.560799278491e-02 -6.663964408048e-04
-6.893826278739e-03 -1.418456500089e-02 1.431505495305e-02
-7.023249773999e-03 9.728604106997e-02 7.297123608325e-03
6
53 1.590000000000e+00
5.607822389563e-02 -2.705640469232e-02 -3.821583432391e-02
3.500110242594e-05 -8.460749856504e-02 -3.382221645909e-02
2.264567816098e-02 -3.214398790771e-03 1.055644712874e-01
-8.429223097730e-02 4.353326523998e-02 -1.239638246273e-03
-6.518783805929e-03 -1.422190720707e-02 1.368801901413e-02
-6.783881020632e-03 9.671487277395e-02 6.875491846771e-03
6
54 1.620000000000e+00
6.176252736160e-02 -3.002898569448e-02 -4.733764320241e-02
8.563742386756e-04 -8.526372230445e-02 -3.525987300678e-02
2.200068819430e-02 -2.756895852735e-03 1.019317384980e-01
-8.031341446467e-02 4.154161825688e-02 -1.811825112626e-03
-6.140869393165e-03 -1.425337369974e-02 1.306755079364e-02
-6.548132915991e-03 9.615052500476e-02 6.469943180660e-03
6
55 1.650000000000e+00
6.735484163065e-02 -3.295403008057e-02 -5.637808262181e-02
1.652230814653e-03 -8.587074993408e-02 -3.657758180639e-02
2.139575965199e-02 -2.316526688035e-03 9.845873493475e-02
-7.649975786263e-02 3.963351673376e-02 -2.382389861139e-03
-5.760890049472e-03 -1.427945666745e-02 1.245439696067e-02
-6.316160063491e-03 9.559401004250e-02 6.080177389440e-03
6
56 1.680000000000e+00
7.284643520710e-02 -3.582783055382e-02 -6.532332072360e-02
2.423729463728e-03 -8.643339311680e-02 -3.779148805583e-02
2.083075820409e-02 -1.893306503156e-03 9.514597081348e-02
-7.285200781631e-02 3.780938800375e-02 -2.950778508309e-03
-5.379623936993e-03 -1.430061353617e-02 1.184929857496e-02
-6.088094189994e-03 9.504625892128e-02 5.705849526450e-03
6
57 1.710000000000e+00
7.822833337739e-02 -3.864739299256e-02 -7.416022870888e-02
3.171848346018e-03 -8.695625351116e-02 -3.891692062508e-02
2.030558499303e-02 -1.487262187466e-03 9.199390553361e-02
-6.937084160673e-02 3.606959453470e-02 -3.516463558262e-03
-4.997816694352e-03 -1.431727060359e-02 1.125296831557e-02
-5.864044630570e-03 9.450811991501e-02 5.346574371359e-03
6
58 1.740000000000e+00
8.348933817400e-02 -4.140856354511e-02 -8.287523056042e-02
3.897552749945e-03 -8.744380015880e-02 -3.996830459777e-02
1.982020405978e-02 -1.098467906044e-03 8.900287458085e-02
-6.605684031254e-02 3.441444909272e-02 -4.078961382619e-03
-4.616177740773e-03 -1.432982822815e-02 1.066607558173e-02
-5.644099280237e-03 9.398035421791e-02 5.001928510376e-03
6
59 1.770000000000e+00
8.861696919321e-02 -4.410501056174e-02 -9.145048643109e-02
4.601865992446e-03 -8.790039569635e-02 -4.095914627332e-02
